Date,IT Dep.,CostElement,Country,Forecast
01/07/2020,Administration,Administrative,USA,"-21,785"
01/08/2020,Administration,Administrative,USA,"-21,785"
01/09/2020,Administration,Administrative,USA,"-21,785"
01/10/2020,Administration,Administrative,USA,"-21,785"
01/11/2020,Administration,Administrative,USA,"-21,785"
01/12/2020,Administration,Administrative,USA,"-21,785"
01/02/2020,Administration,Employee Performance,USA,27
01/03/2020,Administration,Employee Performance,USA,150
01/04/2020,Administration,Employee Performance,USA,182
01/05/2020,Administration,Employee Performance,USA,"14,265"
01/06/2020,Administration,Employee Performance,USA,383
01/07/2020,Administration,Employee Performance,USA,87
01/08/2020,Administration,Employee Performance,USA,87
01/09/2020,Administration,Employee Performance,USA,87
01/10/2020,Administration,Employee Performance,USA,87
01/11/2020,Administration,Employee Performance,USA,87
01/12/2020,Administration,Employee Performance,USA,87
01/01/2020,Administration,External Labor,United Kingdom,"1,754"
01/02/2020,Administration,External Labor,United Kingdom,"3,535"
01/03/2020,Administration,External Labor,United Kingdom,"2,218"
01/04/2020,Administration,External Labor,United Kingdom,"2,048"
01/05/2020,Administration,External Labor,United Kingdom,"4,385"
01/06/2020,Administration,External Labor,United Kingdom,"1,486"
01/01/2020,Administration,External Labor,USA,"24,376"
01/02/2020,Administration,External Labor,USA,"1,205"
01/03/2020,Administration,External Labor,USA,"96,906"
01/04/2020,Administration,External Labor,USA,"31,261"
01/05/2020,Administration,External Labor,USA,"13,056"
01/06/2020,Administration,External Labor,USA,"23,936"
01/07/2020,Administration,External Labor,USA,"60,450"
01/08/2020,Administration,External Labor,USA,"108,000"
01/09/2020,Administration,External Labor,USA,"108,000"
01/10/2020,Administration,External Labor,USA,"114,030"
01/11/2020,Administration,External Labor,USA,"138,000"
01/12/2020,Administration,External Labor,USA,"138,000"
01/03/2020,Administration,Hardware,USA,"2,901"
01/04/2020,Administration,Hardware,USA,24
01/05/2020,Administration,Hardware,USA,66
01/01/2020,Administration,Hardware Maintenance,USA,"5,345"
01/02/2020,Administration,Hardware Maintenance,USA,"-5,345"
01/04/2020,Administration,Hardware Maintenance,USA,"86,480"
01/07/2020,Administration,Hardware Maintenance,USA,135
01/08/2020,Administration,Hardware Maintenance,USA,135
01/09/2020,Administration,Hardware Maintenance,USA,135
01/10/2020,Administration,Hardware Maintenance,USA,135
01/11/2020,Administration,Hardware Maintenance,USA,135
01/12/2020,Administration,Hardware Maintenance,USA,135
01/01/2020,Administration,Inbound Allocations,United Kingdom,318
01/03/2020,Administration,Inbound Allocations,United Kingdom,666
01/02/2020,Administration,Internal Labor,Germany,"-146,561"
01/03/2020,Administration,Internal Labor,Germany,"30,764"
01/04/2020,Administration,Internal Labor,Germany,"5,243"
01/05/2020,Administration,Internal Labor,Germany,"20,399"
01/06/2020,Administration,Internal Labor,Germany,938
01/01/2020,Administration,Internal Labor,Italy,"5,599"
01/02/2020,Administration,Internal Labor,Italy,"9,437"
01/03/2020,Administration,Internal Labor,Italy,"2,193"
01/04/2020,Administration,Internal Labor,Italy,"4,409"
01/05/2020,Administration,Internal Labor,Italy,"5,087"
01/06/2020,Administration,Internal Labor,Italy,"4,734"
01/01/2020,Administration,Internal Labor,United Kingdom,"21,365"
01/02/2020,Administration,Internal Labor,United Kingdom,"23,189"
01/03/2020,Administration,Internal Labor,United Kingdom,"21,311"
01/04/2020,Administration,Internal Labor,United Kingdom,"22,211"
01/05/2020,Administration,Internal Labor,United Kingdom,"23,114"
01/06/2020,Administration,Internal Labor,United Kingdom,"22,775"
01/07/2020,Administration,Internal Labor,United Kingdom,"-28,061"
01/08/2020,Administration,Internal Labor,United Kingdom,"-28,061"
01/09/2020,Administration,Internal Labor,United Kingdom,"-28,061"
01/10/2020,Administration,Internal Labor,United Kingdom,"-28,061"
01/11/2020,Administration,Internal Labor,United Kingdom,"-28,061"
01/12/2020,Administration,Internal Labor,United Kingdom,"-28,061"
01/01/2020,Administration,Internal Labor,USA,"90,994"
01/02/2020,Administration,Internal Labor,USA,"103,135"
01/03/2020,Administration,Internal Labor,USA,"116,809"
01/04/2020,Administration,Internal Labor,USA,"92,221"
01/05/2020,Administration,Internal Labor,USA,"126,128"
01/06/2020,Administration,Internal Labor,USA,"95,333"
01/07/2020,Administration,Internal Labor,USA,"107,178"
01/08/2020,Administration,Internal Labor,USA,"107,178"
01/09/2020,Administration,Internal Labor,USA,"107,178"
01/10/2020,Administration,Internal Labor,USA,"108,580"
01/11/2020,Administration,Internal Labor,USA,"108,580"
01/12/2020,Administration,Internal Labor,USA,"108,623"
01/01/2020,Administration,Legal,USA,"7,258"
01/02/2020,Administration,Legal,USA,"22,458"
01/03/2020,Administration,Legal,USA,562
01/04/2020,Administration,Legal,USA,"1,759"
